state,county,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi
Wisconsin,Columbia,186,175,11,0,0,0,0,80,48,38
Wisconsin,Dane,273,230,43,0,0,0,0,87,56,38
Wisconsin,Dodge,274,238,36,0,0,0,0,93,53,38
Wisconsin,Door,185,157,23,5,0,0,0,147,74,37
Wisconsin,Eau Claire,273,244,29,0,0,0,0,74,52,37
Wisconsin,Fond du Lac,185,175,9,1,0,0,0,108,48,37
Wisconsin,Forest,270,254,16,0,0,0,0,74,47,37
Wisconsin,Grant,267,238,29,0,0,0,0,77,51,28
Wisconsin,Jackson,179,167,11,1,0,0,0,118,45,22
Wisconsin,Jefferson,183,168,15,0,0,0,0,87,49,39
Wisconsin,Kenosha,273,209,59,4,1,0,0,164,68,41
Wisconsin,Kewaunee,185,156,25,3,1,0,0,161,64,40
Wisconsin,La Crosse,273,245,28,0,0,0,0,67,51,37
Wisconsin,Manitowoc,182,151,25,4,2,0,0,182,74,39
Wisconsin,Marathon,187,179,8,0,0,0,0,64,46,35
Wisconsin,Milwaukee,274,194,75,5,0,0,0,143,67,43
Wisconsin,Monroe,155,139,15,1,0,0,0,132,51,22
Wisconsin,Outagamie,273,238,34,1,0,0,0,122,53,38
Wisconsin,Ozaukee,215,181,29,4,1,0,0,159,71,39
Wisconsin,Racine,185,148,34,2,1,0,0,164,67,40
Wisconsin,Rock,186,168,18,0,0,0,0,97,50,40
Wisconsin,Sauk,273,240,33,0,0,0,0,76,52,37
Wisconsin,Sheboygan,186,155,24,6,1,0,0,177,80,41
Wisconsin,Taylor,273,255,18,0,0,0,0,65,46,36
Wisconsin,Vilas,271,256,15,0,0,0,0,67,45,32
Wisconsin,Walworth,184,165,16,3,0,0,0,105,51,40
Wisconsin,Waukesha,271,217,51,3,0,0,0,126,58,40
Wyoming,Albany,243,142,100,0,1,0,0,151,67,49
Wyoming,Big Horn,180,179,1,0,0,0,0,58,46,40
Wyoming,Campbell,212,158,52,0,1,0,1,576,64,43
Wyoming,Carbon,180,180,0,0,0,0,0,27,17,8
Wyoming,Converse,182,170,12,0,0,0,0,78,46,41
Wyoming,Fremont,212,171,41,0,0,0,0,100,58,45
Wyoming,Johnson,181,177,3,1,0,0,0,101,44,40
Wyoming,Laramie,182,163,19,0,0,0,0,74,51,43
Wyoming,Lincoln,273,247,25,1,0,0,0,118,50,40
Wyoming,Natrona,181,172,9,0,0,0,0,64,48,43
Wyoming,Park,190,188,2,0,0,0,0,81,35,17
Wyoming,Platte,178,151,18,4,2,0,3,673,57,16
Wyoming,Sheridan,212,199,13,0,0,0,0,72,48,42
Wyoming,Sublette,243,208,34,1,0,0,0,105,54,46
Wyoming,Sweetwater,212,176,35,0,1,0,0,157,57,43
Wyoming,Teton,213,200,13,0,0,0,0,100,48,44
Wyoming,Uinta,181,179,2,0,0,0,0,55,17,6
Wyoming,Weston,181,179,2,0,0,0,0,58,44,40
